H,M,Mn
-120.0,-7754.5,-1.0
-119.59999999998672,-7754.5,-1.0
-119.19999999997344,-7754.5,-1.0
-118.79999999996016,-7754.5,-1.0
-118.39999999994689,-7754.5,-1.0
-117.9999999999336,-7754.5,-1.0
-117.59999999992031,-7754.5,-1.0
-117.19999999990704,-7754.5,-1.0
-116.79999999989376,-7754.5,-1.0
-116.39999999988048,-7754.5,-1.0
-115.9999999998672,-7754.5,-1.0
-115.59999999985394,-7754.5,-1.0
-115.19999999984066,-7754.5,-1.0
-114.79999999982738,-7754.5,-1.0
-114.3999999998141,-7754.5,-1.0
-113.99999999980082,-7754.5,-1.0
-113.59999999978754,-7754.5,-1.0
-113.19999999977426,-7754.5,-1.0
-112.79999999976098,-7754.5,-1.0
-112.3999999997477,-7754.5,-1.0
-111.99999999973444,-7754.5,-1.0
-111.59999999972116,-7754.5,-1.0
-111.19999999970788,-7754.5,-1.0
-110.7999999996946,-7754.5,-1.0
-110.39999999968131,-7754.5,-1.0
-109.99999999966803,-7754.5,-1.0
-109.59999999965476,-7754.5,-1.0
-109.19999999964148,-7754.5,-1.0
-108.7999999996282,-7754.5,-1.0
-108.39999999961492,-7754.5,-1.0
-107.99999999960164,-7754.5,-1.0
-107.59999999958836,-7754.5,-1.0
-107.19999999957508,-7754.5,-1.0
-106.7999999995618,-7754.5,-1.0
-106.39999999954853,-7754.5,-1.0
-105.99999999953523,-7754.5,-1.0
-105.59999999952196,-7754.5,-1.0
-105.19999999950868,-7754.5,-1.0
-104.7999999994954,-7754.5,-1.0
-104.39999999948212,-7754.5,-1.0
-103.99999999946886,-7754.5,-1.0
-103.59999999945558,-7754.5,-1.0
-103.1999999994423,-7754.5,-1.0
-102.79999999942902,-7754.5,-1.0
-102.39999999941574,-7754.5,-1.0
-101.99999999940246,-7754.5,-1.0
-101.59999999938918,-7754.5,-1.0
-101.1999999993759,-7754.5,-1.0
-100.79999999936264,-7754.5,-1.0
-100.39999999934936,-7754.5,-1.0
-99.99999999933608,-7754.5,-1.0
-99.5999999993228,-7754.5,-1.0
-99.19999999930953,-7754.5,-1.0
-98.79999999929623,-7754.5,-1.0
-98.39999999928295,-7754.5,-1.0
-97.99999999926968,-7754.5,-1.0
-97.5999999992564,-7754.5,-1.0
