H,M,Mn
-120.0,-176.0,-1.0
-119.59999999998672,-176.0,-1.0
-119.19999999997344,-176.0,-1.0
-118.79999999996016,-176.0,-1.0
-118.39999999994689,-176.0,-1.0
-117.9999999999336,-176.0,-1.0
-117.59999999992031,-176.0,-1.0
-117.19999999990704,-176.0,-1.0
-116.79999999989376,-176.0,-1.0
-116.39999999988048,-176.0,-1.0
-115.9999999998672,-176.0,-1.0
-115.59999999985394,-176.0,-1.0
-115.19999999984066,-176.0,-1.0
-114.79999999982738,-176.0,-1.0
-114.3999999998141,-176.0,-1.0
-113.99999999980082,-176.0,-1.0
-113.59999999978754,-176.0,-1.0
-113.19999999977426,-176.0,-1.0
-112.79999999976098,-176.0,-1.0
-112.3999999997477,-176.0,-1.0
-111.99999999973444,-176.0,-1.0
-111.59999999972116,-176.0,-1.0
-111.19999999970788,-176.0,-1.0
-110.7999999996946,-176.0,-1.0
-110.39999999968131,-176.0,-1.0
-109.99999999966803,-176.0,-1.0
-109.59999999965476,-176.0,-1.0
-109.19999999964148,-176.0,-1.0
-108.7999999996282,-176.0,-1.0
-108.39999999961492,-176.0,-1.0
-107.99999999960164,-176.0,-1.0
-107.59999999958836,-176.0,-1.0
-107.19999999957508,-176.0,-1.0
-106.7999999995618,-176.0,-1.0
-106.39999999954853,-176.0,-1.0
-105.99999999953523,-176.0,-1.0
-105.59999999952196,-176.0,-1.0
-105.19999999950868,-176.0,-1.0
-104.7999999994954,-176.0,-1.0
-104.39999999948212,-176.0,-1.0
-103.99999999946886,-176.0,-1.0
-103.59999999945558,-176.0,-1.0
-103.1999999994423,-176.0,-1.0
-102.79999999942902,-176.0,-1.0
-102.39999999941574,-176.0,-1.0
-101.99999999940246,-176.0,-1.0
-101.59999999938918,-176.0,-1.0
-101.1999999993759,-176.0,-1.0
-100.79999999936264,-176.0,-1.0
-100.39999999934936,-176.0,-1.0
-99.99999999933608,-176.0,-1.0
-99.5999999993228,-176.0,-1.0
-99.19999999930953,-176.0,-1.0
-98.79999999929623,-176.0,-1.0
-98.39999999928295,-176.0,-1.0
-97.99999999926968,-176.0,-1.0
-97.5999999992564,-176.0,-1.0
-97.19999999924312,-176.0,-1.0
-96.79999999922984,-176.0,-1.0
-96.39999999921656,-176.0,-1.0
-95.99999999920328,-176.0,-1.0
-95.59999999919,-176.0,-1.0
-95.19999999917673,-176.0,-1.0
-94.79999999916345,-176.0,-1.0
-94.39999999915015,-176.0,-1.0
-93.99999999913688,-174.0,-0.9886363636363636
-93.5999999991236,-176.0,-1.0
-93.19999999911032,-176.0,-1.0
-92.79999999909704,-176.0,-1.0
-92.39999999908378,-176.0,-1.0
-91.9999999990705,-176.0,-1.0
-91.59999999905722,-176.0,-1.0
-91.19999999904394,-176.0,-1.0
-90.79999999903066,-176.0,-1.0
-90.39999999901738,-176.0,-1.0
-89.9999999990041,-176.0,-1.0
-89.59999999899082,-176.0,-1.0
-89.19999999897755,-176.0,-1.0
-88.79999999896427,-176.0,-1.0
-88.39999999895099,-176.0,-1.0
-87.99999999893771,-176.0,-1.0
-87.59999999892443,-176.0,-1.0
-87.19999999891115,-176.0,-1.0
-86.79999999889787,-176.0,-1.0
-86.3999999988846,-176.0,-1.0
-85.99999999887132,-176.0,-1.0
-85.59999999885804,-176.0,-1.0
-85.19999999884476,-176.0,-1.0
-84.79999999883148,-176.0,-1.0
-84.3999999988182,-174.0,-0.9886363636363636
-83.99999999880492,-176.0,-1.0
-83.59999999879165,-176.0,-1.0
-83.19999999877837,-176.0,-1.0
-82.79999999876509,-176.0,-1.0
-82.39999999875181,-176.0,-1.0
-81.99999999873853,-176.0,-1.0
-81.59999999872525,-176.0,-1.0
-81.19999999871197,-176.0,-1.0
-80.7999999986987,-176.0,-1.0
-80.39999999868542,-176.0,-1.0
-79.99999999867214,-176.0,-1.0
-79.59999999865886,-176.0,-1.0
