H,M,Mn
-120.0,-970.5,-1.0
-119.59999999998672,-970.5,-1.0
-119.19999999997344,-970.5,-1.0
-118.79999999996016,-970.5,-1.0
-118.39999999994689,-970.5,-1.0
-117.9999999999336,-970.5,-1.0
-117.59999999992031,-970.5,-1.0
-117.19999999990704,-970.5,-1.0
-116.79999999989376,-970.5,-1.0
-116.39999999988048,-970.5,-1.0
-115.9999999998672,-970.5,-1.0
-115.59999999985394,-970.5,-1.0
-115.19999999984066,-970.5,-1.0
-114.79999999982738,-970.5,-1.0
-114.3999999998141,-970.5,-1.0
-113.99999999980082,-970.5,-1.0
-113.59999999978754,-970.5,-1.0
-113.19999999977426,-970.5,-1.0
-112.79999999976098,-970.5,-1.0
-112.3999999997477,-970.5,-1.0
-111.99999999973444,-970.5,-1.0
-111.59999999972116,-970.5,-1.0
-111.19999999970788,-970.5,-1.0
-110.7999999996946,-970.5,-1.0
-110.39999999968131,-970.5,-1.0
-109.99999999966803,-970.5,-1.0
-109.59999999965476,-970.5,-1.0
-109.19999999964148,-970.5,-1.0
-108.7999999996282,-970.5,-1.0
-108.39999999961492,-970.5,-1.0
-107.99999999960164,-970.5,-1.0
-107.59999999958836,-970.5,-1.0
-107.19999999957508,-970.5,-1.0
-106.7999999995618,-970.5,-1.0
-106.39999999954853,-970.5,-1.0
-105.99999999953523,-970.5,-1.0
-105.59999999952196,-970.5,-1.0
-105.19999999950868,-970.5,-1.0
-104.7999999994954,-970.5,-1.0
-104.39999999948212,-970.5,-1.0
-103.99999999946886,-970.5,-1.0
-103.59999999945558,-970.5,-1.0
-103.1999999994423,-970.5,-1.0
-102.79999999942902,-970.5,-1.0
-102.39999999941574,-970.5,-1.0
-101.99999999940246,-970.5,-1.0
-101.59999999938918,-970.5,-1.0
-101.1999999993759,-970.5,-1.0
-100.79999999936264,-970.5,-1.0
-100.39999999934936,-970.5,-1.0
-99.99999999933608,-970.5,-1.0
-99.5999999993228,-970.5,-1.0
-99.19999999930953,-970.5,-1.0
-98.79999999929623,-970.5,-1.0
-98.39999999928295,-970.5,-1.0
-97.99999999926968,-970.5,-1.0
-97.5999999992564,-970.5,-1.0
-97.19999999924312,-970.5,-1.0
-96.79999999922984,-970.5,-1.0
-96.39999999921656,-970.5,-1.0
-95.99999999920328,-970.5,-1.0
-95.59999999919,-970.5,-1.0
-95.19999999917673,-970.5,-1.0
-94.79999999916345,-969.5,-0.9989696032972696
-94.39999999915015,-970.5,-1.0
-93.99999999913688,-970.5,-1.0
-93.5999999991236,-970.5,-1.0
-93.19999999911032,-970.5,-1.0
-92.79999999909704,-970.5,-1.0
-92.39999999908378,-970.5,-1.0
-91.9999999990705,-970.5,-1.0
-91.59999999905722,-970.5,-1.0
-91.19999999904394,-970.5,-1.0
-90.79999999903066,-970.5,-1.0
-90.39999999901738,-970.5,-1.0
-89.9999999990041,-970.5,-1.0
-89.59999999899082,-970.5,-1.0
-89.19999999897755,-970.5,-1.0
-88.79999999896427,-970.5,-1.0
-88.39999999895099,-970.5,-1.0
-87.99999999893771,-970.5,-1.0
-87.59999999892443,-970.5,-1.0
-87.19999999891115,-970.5,-1.0
-86.79999999889787,-969.5,-0.9989696032972696
-86.3999999988846,-970.5,-1.0
-85.99999999887132,-970.5,-1.0
-85.59999999885804,-970.5,-1.0
-85.19999999884476,-970.5,-1.0
-84.79999999883148,-970.5,-1.0
-84.3999999988182,-970.5,-1.0
-83.99999999880492,-970.5,-1.0
-83.59999999879165,-970.5,-1.0
-83.19999999877837,-970.5,-1.0
-82.79999999876509,-970.5,-1.0
-82.39999999875181,-970.5,-1.0
-81.99999999873853,-970.5,-1.0
-81.59999999872525,-969.5,-0.9989696032972696
-81.19999999871197,-970.5,-1.0
-80.7999999986987,-970.5,-1.0
-80.39999999868542,-970.5,-1.0
-79.99999999867214,-969.5,-0.9989696032972696
-79.59999999865886,-970.5,-1.0
-79.19999999864558,-970.5,-1.0
-78.7999999986323,-968.5,-0.9979392065945388
-78.39999999861902,-969.5,-0.9989696032972696
-77.99999999860574,-970.5,-1.0
-77.59999999859247,-969.5,-0.9989696032972696
-77.19999999857919,-970.5,-1.0
-76.79999999856591,-970.5,-1.0
-76.39999999855263,-970.5,-1.0
-75.99999999853935,-969.5,-0.9989696032972696
-75.59999999852607,-970.5,-1.0
-75.1999999985128,-970.5,-1.0
-74.79999999849952,-970.5,-1.0
-74.39999999848624,-969.5,-0.9989696032972696
-73.99999999847296,-970.5,-1.0
-73.59999999845968,-969.5,-0.9989696032972696
-73.1999999984464,-969.5,-0.9989696032972696
-72.79999999843312,-969.5,-0.9989696032972696
-72.39999999841984,-970.5,-1.0
-71.99999999840657,-970.5,-1.0
-71.59999999839329,-970.5,-1.0
-71.19999999838001,-968.5,-0.9979392065945388
-70.79999999836673,-970.5,-1.0
-70.39999999835345,-970.5,-1.0
-69.99999999834017,-970.5,-1.0
-69.5999999983269,-970.5,-1.0
-69.19999999831361,-969.5,-0.9989696032972696
-68.79999999830034,-969.5,-0.9989696032972696
-68.39999999828706,-968.5,-0.9979392065945388
-67.99999999827378,-970.5,-1.0
-67.5999999982605,-968.5,-0.9979392065945388
-67.19999999824722,-970.5,-1.0
-66.79999999823394,-970.5,-1.0
-66.39999999822066,-969.5,-0.9989696032972696
-65.99999999820739,-969.5,-0.9989696032972696
-65.59999999819411,-970.5,-1.0
-65.19999999818083,-970.5,-1.0
-64.79999999816755,-968.5,-0.9979392065945388
-64.39999999815427,-968.5,-0.9979392065945388
-63.99999999814099,-970.5,-1.0
-63.599999998127714,-969.5,-0.9989696032972696
-63.19999999811444,-969.5,-0.9989696032972696
-62.79999999810116,-969.5,-0.9989696032972696
-62.39999999808788,-970.5,-1.0
-61.9999999980746,-970.5,-1.0
-61.59999999806132,-968.5,-0.9979392065945388
-61.19999999804804,-969.5,-0.9989696032972696
-60.79999999803477,-968.5,-0.9979392065945388
-60.399999998021485,-970.5,-1.0
-59.99999999800821,-970.5,-1.0
-59.59999999799493,-969.5,-0.9989696032972696
-59.19999999798165,-970.5,-1.0
-58.79999999796837,-969.5,-0.9989696032972696
-58.39999999795509,-968.5,-0.9979392065945388
-57.99999999794181,-966.5,-0.9958784131890778
-57.599999997928535,-965.5,-0.9948480164863472
-57.199999997915256,-968.5,-0.9979392065945388
-56.79999999790198,-969.5,-0.9989696032972696
-56.3999999978887,-968.5,-0.9979392065945388
-55.99999999787542,-969.5,-0.9989696032972696
-55.59999999786214,-970.5,-1.0
-55.19999999784886,-969.5,-0.9989696032972696
-54.79999999783559,-970.5,-1.0
-54.39999999782231,-969.5,-0.9989696032972696
-53.99999999780903,-964.5,-0.9938176197836168
-53.59999999779575,-970.5,-1.0
-53.19999999778247,-968.5,-0.9979392065945388
-52.79999999776919,-966.5,-0.9958784131890778
-52.39999999775591,-967.5,-0.9969088098918084
-51.99999999774264,-967.5,-0.9969088098918084
-51.59999999772936,-969.5,-0.9989696032972696
-51.19999999771608,-964.5,-0.9938176197836168
-50.7999999977028,-961.5,-0.990726429675425
-50.39999999768952,-963.5,-0.9927872230808862
-49.99999999767624,-966.5,-0.9958784131890778
-49.59999999766296,-966.5,-0.9958784131890778
-49.19999999764968,-966.5,-0.9958784131890778
-48.799999997636405,-966.5,-0.9958784131890778
-48.39999999762313,-966.5,-0.9958784131890778
-47.99999999760985,-963.5,-0.9927872230808862
-47.59999999759657,-963.5,-0.9927872230808862
-47.19999999758329,-958.5,-0.9876352395672334
-46.79999999757001,-960.5,-0.9896960329726944
-46.39999999755673,-959.5,-0.988665636269964
-45.999999997543455,-959.5,-0.988665636269964
-45.599999997530176,-958.5,-0.9876352395672334
-45.1999999975169,-959.5,-0.988665636269964
-44.79999999750362,-964.5,-0.9938176197836168
-44.39999999749034,-960.5,-0.9896960329726944
-43.99999999747706,-963.5,-0.9927872230808862
-43.59999999746378,-960.5,-0.9896960329726944
-43.1999999974505,-960.5,-0.9896960329726944
-42.799999997437226,-963.5,-0.9927872230808862
-42.39999999742395,-960.5,-0.9896960329726944
-41.99999999741067,-959.5,-0.988665636269964
-41.59999999739739,-959.5,-0.988665636269964
-41.19999999738411,-957.5,-0.9866048428645028
-40.79999999737083,-959.5,-0.988665636269964
-40.399999997357554,-961.5,-0.990726429675425
-39.99999999734428,-959.5,-0.988665636269964
-39.599999997331,-951.5,-0.9804224626481196
-39.19999999731772,-961.5,-0.990726429675425
-38.79999999730444,-950.5,-0.979392065945389
-38.39999999729116,-953.5,-0.9824832560535808
-37.99999999727788,-949.5,-0.9783616692426584
-37.59999999726461,-954.5,-0.9835136527563112
-37.199999997251325,-952.5,-0.98145285935085
-36.79999999723805,-953.5,-0.9824832560535808
-36.39999999722477,-951.5,-0.9804224626481196
-35.99999999721149,-946.5,-0.9752704791344669
-35.59999999719821,-942.5,-0.9711488923235444
-35.19999999718493,-944.5,-0.9732096857290056
-34.79999999717165,-946.5,-0.9752704791344669
-34.399999997158375,-946.5,-0.9752704791344669
-33.999999997145096,-939.5,-0.9680577022153528
-33.59999999713182,-944.5,-0.9732096857290056
-33.19999999711854,-934.5,-0.9629057187017002
-32.79999999710526,-931.5,-0.9598145285935084
-32.39999999709198,-933.5,-0.9618753219989696
-31.999999997078703,-933.5,-0.9618753219989696
-31.599999997065424,-928.5,-0.9567233384853168
-31.199999997052146,-928.5,-0.9567233384853168
-30.799999997038867,-928.5,-0.9567233384853168
-30.39999999702559,-921.5,-0.949510561566203
-29.99999999701231,-935.5,-0.9639361154044308
-29.59999999699903,-933.5,-0.9618753219989696
-29.199999996985756,-927.5,-0.9556929417825863
-28.799999996972478,-926.5,-0.9546625450798556
-28.399999996959195,-921.5,-0.949510561566203
-27.99999999694592,-918.5,-0.9464193714580114
-27.59999999693264,-917.5,-0.9453889747552808
-27.19999999691936,-919.5,-0.947449768160742
-26.79999999690608,-908.5,-0.9361154044307058
-26.3999999968928,-907.5,-0.9350850077279752
-25.999999996879524,-893.5,-0.9206594538897476
-25.599999996866245,-885.5,-0.9124162802679032
-25.199999996852966,-891.5,-0.9185986604842864
-24.799999996839688,-905.5,-0.933024214322514
-24.39999999682641,-883.5,-0.910355486862442
-23.99999999681313,-892.5,-0.919629057187017
-23.59999999679985,-898.5,-0.9258114374034004
-23.199999996786573,-874.5,-0.9010819165378672
-22.79999999677329,-878.5,-0.9052035033487892
-22.399999996760016,-882.5,-0.9093250901597116
-21.999999996746737,-851.5,-0.8773827923750644
-21.59999999673346,-856.5,-0.8825347758887172
-21.19999999672018,-859.5,-0.8856259659969088
-20.7999999967069,-849.5,-0.8753219989696033
-20.399999996693623,-845.5,-0.871200412158681
-19.999999996680344,-847.5,-0.8732612055641422
-19.599999996667066,-853.5,-0.8794435857805255
-19.199999996653787,-837.5,-0.8629572385368367
-18.79999999664051,-851.5,-0.8773827923750644
-18.39999999662723,-809.5,-0.8341061308603812
-17.99999999661395,-818.5,-0.8433797011849562
-17.599999996600673,-789.5,-0.8134981968057702
-17.199999996587394,-802.5,-0.8268933539412674
-16.799999996574115,-788.5,-0.8124678001030397
-16.399999996560837,-739.5,-0.7619783616692427
-15.999999996547558,-768.5,-0.7918598660484286
-15.59999999653428,-752.5,-0.7753735188047398
-15.199999996521,-728.5,-0.7506439979392066
-14.799999996507722,-711.5,-0.7331272539927872
-14.399999996494444,-736.5,-0.758887171561051
-13.999999996481163,-694.5,-0.7156105100463679
-13.599999996467886,-707.5,-0.729005667181865
-13.199999996454608,-691.5,-0.7125193199381762
-12.79999999644133,-660.5,-0.6805770221535291
-12.39999999642805,-688.5,-0.7094281298299846
-11.999999996414772,-664.5,-0.6846986089644513
-11.599999996401491,-640.5,-0.6599690880989181
