H,M,Mn
-120.0,-170.0,-1.0
-119.59999999998672,-170.0,-1.0
-119.19999999997344,-170.0,-1.0
-118.79999999996016,-170.0,-1.0
-118.39999999994689,-170.0,-1.0
-117.9999999999336,-170.0,-1.0
-117.59999999992031,-170.0,-1.0
-117.19999999990704,-170.0,-1.0
-116.79999999989376,-170.0,-1.0
-116.39999999988048,-170.0,-1.0
-115.9999999998672,-170.0,-1.0
-115.59999999985394,-170.0,-1.0
-115.19999999984066,-170.0,-1.0
-114.79999999982738,-170.0,-1.0
-114.3999999998141,-170.0,-1.0
-113.99999999980082,-170.0,-1.0
-113.59999999978754,-170.0,-1.0
-113.19999999977426,-170.0,-1.0
-112.79999999976098,-170.0,-1.0
-112.3999999997477,-170.0,-1.0
-111.99999999973444,-170.0,-1.0
-111.59999999972116,-170.0,-1.0
-111.19999999970788,-170.0,-1.0
-110.7999999996946,-170.0,-1.0
-110.39999999968131,-170.0,-1.0
-109.99999999966803,-170.0,-1.0
-109.59999999965476,-170.0,-1.0
-109.19999999964148,-170.0,-1.0
-108.7999999996282,-170.0,-1.0
-108.39999999961492,-170.0,-1.0
-107.99999999960164,-170.0,-1.0
-107.59999999958836,-170.0,-1.0
-107.19999999957508,-170.0,-1.0
-106.7999999995618,-170.0,-1.0
-106.39999999954853,-170.0,-1.0
-105.99999999953523,-170.0,-1.0
-105.59999999952196,-170.0,-1.0
-105.19999999950868,-170.0,-1.0
-104.7999999994954,-170.0,-1.0
-104.39999999948212,-170.0,-1.0
-103.99999999946886,-170.0,-1.0
-103.59999999945558,-170.0,-1.0
-103.1999999994423,-170.0,-1.0
-102.79999999942902,-170.0,-1.0
-102.39999999941574,-170.0,-1.0
-101.99999999940246,-170.0,-1.0
-101.59999999938918,-170.0,-1.0
-101.1999999993759,-170.0,-1.0
-100.79999999936264,-170.0,-1.0
-100.39999999934936,-170.0,-1.0
-99.99999999933608,-170.0,-1.0
-99.5999999993228,-170.0,-1.0
-99.19999999930953,-170.0,-1.0
-98.79999999929623,-170.0,-1.0
-98.39999999928295,-170.0,-1.0
-97.99999999926968,-170.0,-1.0
-97.5999999992564,-170.0,-1.0
-97.19999999924312,-170.0,-1.0
-96.79999999922984,-170.0,-1.0
-96.39999999921656,-170.0,-1.0
-95.99999999920328,-170.0,-1.0
-95.59999999919,-170.0,-1.0
-95.19999999917673,-170.0,-1.0
-94.79999999916345,-170.0,-1.0
-94.39999999915015,-170.0,-1.0
-93.99999999913688,-170.0,-1.0
-93.5999999991236,-170.0,-1.0
-93.19999999911032,-170.0,-1.0
-92.79999999909704,-170.0,-1.0
-92.39999999908378,-170.0,-1.0
-91.9999999990705,-170.0,-1.0
-91.59999999905722,-170.0,-1.0
-91.19999999904394,-170.0,-1.0
-90.79999999903066,-170.0,-1.0
-90.39999999901738,-170.0,-1.0
-89.9999999990041,-170.0,-1.0
-89.59999999899082,-170.0,-1.0
-89.19999999897755,-170.0,-1.0
-88.79999999896427,-170.0,-1.0
-88.39999999895099,-170.0,-1.0
-87.99999999893771,-170.0,-1.0
-87.59999999892443,-170.0,-1.0
-87.19999999891115,-170.0,-1.0
-86.79999999889787,-170.0,-1.0
-86.3999999988846,-170.0,-1.0
-85.99999999887132,-170.0,-1.0
-85.59999999885804,-170.0,-1.0
-85.19999999884476,-170.0,-1.0
-84.79999999883148,-170.0,-1.0
-84.3999999988182,-170.0,-1.0
-83.99999999880492,-170.0,-1.0
-83.59999999879165,-170.0,-1.0
-83.19999999877837,-170.0,-1.0
-82.79999999876509,-170.0,-1.0
-82.39999999875181,-170.0,-1.0
-81.99999999873853,-170.0,-1.0
-81.59999999872525,-170.0,-1.0
-81.19999999871197,-170.0,-1.0
-80.7999999986987,-170.0,-1.0
-80.39999999868542,-170.0,-1.0
-79.99999999867214,-170.0,-1.0
-79.59999999865886,-170.0,-1.0
-79.19999999864558,-170.0,-1.0
-78.7999999986323,-170.0,-1.0
-78.39999999861902,-170.0,-1.0
-77.99999999860574,-170.0,-1.0
-77.59999999859247,-170.0,-1.0
-77.19999999857919,-170.0,-1.0
-76.79999999856591,-170.0,-1.0
-76.39999999855263,-170.0,-1.0
-75.99999999853935,-170.0,-1.0
-75.59999999852607,-170.0,-1.0
-75.1999999985128,-170.0,-1.0
-74.79999999849952,-170.0,-1.0
-74.39999999848624,-170.0,-1.0
-73.99999999847296,-170.0,-1.0
-73.59999999845968,-170.0,-1.0
-73.1999999984464,-170.0,-1.0
-72.79999999843312,-170.0,-1.0
-72.39999999841984,-170.0,-1.0
-71.99999999840657,-170.0,-1.0
-71.59999999839329,-170.0,-1.0
-71.19999999838001,-170.0,-1.0
-70.79999999836673,-170.0,-1.0
-70.39999999835345,-170.0,-1.0
-69.99999999834017,-170.0,-1.0
-69.5999999983269,-170.0,-1.0
-69.19999999831361,-170.0,-1.0
-68.79999999830034,-170.0,-1.0
-68.39999999828706,-170.0,-1.0
-67.99999999827378,-170.0,-1.0
-67.5999999982605,-170.0,-1.0
-67.19999999824722,-170.0,-1.0
-66.79999999823394,-170.0,-1.0
-66.39999999822066,-170.0,-1.0
-65.99999999820739,-170.0,-1.0
-65.59999999819411,-170.0,-1.0
-65.19999999818083,-170.0,-1.0
-64.79999999816755,-170.0,-1.0
-64.39999999815427,-170.0,-1.0
-63.99999999814099,-170.0,-1.0
-63.599999998127714,-170.0,-1.0
-63.19999999811444,-170.0,-1.0
-62.79999999810116,-170.0,-1.0
-62.39999999808788,-170.0,-1.0
-61.9999999980746,-170.0,-1.0
-61.59999999806132,-170.0,-1.0
-61.19999999804804,-170.0,-1.0
-60.79999999803477,-170.0,-1.0
-60.399999998021485,-170.0,-1.0
-59.99999999800821,-170.0,-1.0
-59.59999999799493,-170.0,-1.0
-59.19999999798165,-170.0,-1.0
-58.79999999796837,-170.0,-1.0
-58.39999999795509,-170.0,-1.0
-57.99999999794181,-170.0,-1.0
-57.599999997928535,-170.0,-1.0
-57.199999997915256,-170.0,-1.0
-56.79999999790198,-170.0,-1.0
-56.3999999978887,-170.0,-1.0
-55.99999999787542,-170.0,-1.0
-55.59999999786214,-170.0,-1.0
-55.19999999784886,-170.0,-1.0
-54.79999999783559,-170.0,-1.0
-54.39999999782231,-170.0,-1.0
-53.99999999780903,-170.0,-1.0
-53.59999999779575,-170.0,-1.0
-53.19999999778247,-170.0,-1.0
-52.79999999776919,-170.0,-1.0
-52.39999999775591,-170.0,-1.0
-51.99999999774264,-170.0,-1.0
-51.59999999772936,-170.0,-1.0
-51.19999999771608,-170.0,-1.0
-50.7999999977028,-170.0,-1.0
-50.39999999768952,-170.0,-1.0
-49.99999999767624,-170.0,-1.0
-49.59999999766296,-170.0,-1.0
-49.19999999764968,-170.0,-1.0
-48.799999997636405,-170.0,-1.0
-48.39999999762313,-170.0,-1.0
-47.99999999760985,-170.0,-1.0
-47.59999999759657,-170.0,-1.0
-47.19999999758329,-170.0,-1.0
-46.79999999757001,-170.0,-1.0
-46.39999999755673,-170.0,-1.0
-45.999999997543455,-170.0,-1.0
-45.599999997530176,-170.0,-1.0
-45.1999999975169,-170.0,-1.0
-44.79999999750362,-170.0,-1.0
-44.39999999749034,-170.0,-1.0
-43.99999999747706,-170.0,-1.0
-43.59999999746378,-170.0,-1.0
-43.1999999974505,-170.0,-1.0
-42.799999997437226,-170.0,-1.0
-42.39999999742395,-170.0,-1.0
-41.99999999741067,-170.0,-1.0
-41.59999999739739,-170.0,-1.0
-41.19999999738411,-170.0,-1.0
-40.79999999737083,-170.0,-1.0
-40.399999997357554,-170.0,-1.0
-39.99999999734428,-170.0,-1.0
-39.599999997331,-170.0,-1.0
-39.19999999731772,-170.0,-1.0
-38.79999999730444,-170.0,-1.0
-38.39999999729116,-170.0,-1.0
-37.99999999727788,-168.0,-0.9882352941176472
-37.59999999726461,-170.0,-1.0
-37.199999997251325,-170.0,-1.0
-36.79999999723805,-170.0,-1.0
-36.39999999722477,-170.0,-1.0
-35.99999999721149,-170.0,-1.0
-35.59999999719821,-170.0,-1.0
-35.19999999718493,-170.0,-1.0
-34.79999999717165,-170.0,-1.0
-34.399999997158375,-170.0,-1.0
-33.999999997145096,-170.0,-1.0
-33.59999999713182,-170.0,-1.0
-33.19999999711854,-170.0,-1.0
-32.79999999710526,-170.0,-1.0
-32.39999999709198,-170.0,-1.0
-31.999999997078703,-170.0,-1.0
-31.599999997065424,-170.0,-1.0
-31.199999997052146,-170.0,-1.0
-30.799999997038867,-170.0,-1.0
-30.39999999702559,-170.0,-1.0
-29.99999999701231,-170.0,-1.0
-29.59999999699903,-170.0,-1.0
-29.199999996985756,-170.0,-1.0
-28.799999996972478,-170.0,-1.0
-28.399999996959195,-170.0,-1.0
-27.99999999694592,-170.0,-1.0
-27.59999999693264,-170.0,-1.0
-27.19999999691936,-170.0,-1.0
-26.79999999690608,-170.0,-1.0
-26.3999999968928,-170.0,-1.0
-25.999999996879524,-170.0,-1.0
-25.599999996866245,-165.0,-0.9705882352941176
-25.199999996852966,-170.0,-1.0
-24.799999996839688,-163.0,-0.9588235294117649
-24.39999999682641,-170.0,-1.0
-23.99999999681313,-168.0,-0.9882352941176472
-23.59999999679985,-164.0,-0.9647058823529412
-23.199999996786573,-170.0,-1.0
-22.79999999677329,-170.0,-1.0
-22.399999996760016,-170.0,-1.0
-21.999999996746737,-169.0,-0.9941176470588236
-21.59999999673346,-159.0,-0.9352941176470588
-21.19999999672018,-169.0,-0.9941176470588236
-20.7999999967069,-168.0,-0.9882352941176472
-20.399999996693623,-170.0,-1.0
-19.999999996680344,-167.0,-0.9823529411764704
-19.599999996667066,-167.0,-0.9823529411764704
-19.199999996653787,-167.0,-0.9823529411764704
-18.79999999664051,-168.0,-0.9882352941176472
-18.39999999662723,-166.0,-0.976470588235294
-17.99999999661395,-170.0,-1.0
-17.599999996600673,-165.0,-0.9705882352941176
-17.199999996587394,-169.0,-0.9941176470588236
-16.799999996574115,-168.0,-0.9882352941176472
-16.399999996560837,-157.0,-0.923529411764706
-15.999999996547558,-165.0,-0.9705882352941176
-15.59999999653428,-163.0,-0.9588235294117649
-15.199999996521,-160.0,-0.9411764705882352
-14.799999996507722,-165.0,-0.9705882352941176
-14.399999996494444,-160.0,-0.9411764705882352
-13.999999996481163,-163.0,-0.9588235294117649
-13.599999996467886,-159.0,-0.9352941176470588
-13.199999996454608,-158.0,-0.9294117647058824
-12.79999999644133,-164.0,-0.9647058823529412
-12.39999999642805,-145.0,-0.8529411764705882
-11.999999996414772,-146.0,-0.8588235294117647
-11.599999996401491,-159.0,-0.9352941176470588
-11.199999996388216,-139.0,-0.8176470588235294
-10.799999996374936,-146.0,-0.8588235294117647
-10.399999996361656,-137.0,-0.8058823529411765
-9.99999999634838,-156.0,-0.9176470588235294
-9.5999999963351,-141.0,-0.8294117647058824
-9.199999996321822,-142.0,-0.8352941176470589
-8.799999996308543,-131.0,-0.7705882352941177
-8.399999996295264,-130.0,-0.7647058823529411
-7.999999996281986,-132.0,-0.7764705882352941
-7.599999996268707,-122.0,-0.7176470588235294
-7.199999996255428,-112.0,-0.6588235294117647
-6.79999999624215,-124.0,-0.7294117647058823
-6.399999996228871,-105.0,-0.6176470588235294
-5.9999999962155925,-92.0,-0.5411764705882353
-5.599999996202314,-112.0,-0.6588235294117647
-5.199999996189035,-90.0,-0.5294117647058824
-4.799999996175757,-83.0,-0.488235294117647
-4.399999996162478,-57.0,-0.3352941176470588
-3.9999999961492,-73.0,-0.4294117647058823
-3.599999996135921,-67.0,-0.3941176470588235
-3.199999996122642,-72.0,-0.4235294117647059
-2.799999996109364,-90.0,-0.5294117647058824
-2.399999996096085,-67.0,-0.3941176470588235
