H,M,Mn
-120.0,-202.5,-1.0
-119.59999999998672,-202.5,-1.0
-119.19999999997344,-202.5,-1.0
-118.79999999996016,-202.5,-1.0
-118.39999999994689,-202.5,-1.0
-117.9999999999336,-202.5,-1.0
-117.59999999992031,-202.5,-1.0
-117.19999999990704,-202.5,-1.0
-116.79999999989376,-202.5,-1.0
-116.39999999988048,-202.5,-1.0
-115.9999999998672,-202.5,-1.0
-115.59999999985394,-202.5,-1.0
-115.19999999984066,-202.5,-1.0
-114.79999999982738,-202.5,-1.0
-114.3999999998141,-202.5,-1.0
-113.99999999980082,-202.5,-1.0
-113.59999999978754,-202.5,-1.0
-113.19999999977426,-202.5,-1.0
-112.79999999976098,-202.5,-1.0
-112.3999999997477,-202.5,-1.0
-111.99999999973444,-202.5,-1.0
-111.59999999972116,-202.5,-1.0
-111.19999999970788,-202.5,-1.0
-110.7999999996946,-202.5,-1.0
-110.39999999968131,-202.5,-1.0
-109.99999999966803,-202.5,-1.0
-109.59999999965476,-202.5,-1.0
-109.19999999964148,-202.5,-1.0
-108.7999999996282,-202.5,-1.0
-108.39999999961492,-202.5,-1.0
-107.99999999960164,-202.5,-1.0
-107.59999999958836,-202.5,-1.0
-107.19999999957508,-202.5,-1.0
-106.7999999995618,-202.5,-1.0
-106.39999999954853,-202.5,-1.0
-105.99999999953523,-202.5,-1.0
-105.59999999952196,-202.5,-1.0
-105.19999999950868,-202.5,-1.0
-104.7999999994954,-202.5,-1.0
-104.39999999948212,-202.5,-1.0
-103.99999999946886,-202.5,-1.0
-103.59999999945558,-202.5,-1.0
-103.1999999994423,-202.5,-1.0
-102.79999999942902,-202.5,-1.0
-102.39999999941574,-202.5,-1.0
-101.99999999940246,-202.5,-1.0
-101.59999999938918,-202.5,-1.0
-101.1999999993759,-202.5,-1.0
-100.79999999936264,-202.5,-1.0
-100.39999999934936,-202.5,-1.0
-99.99999999933608,-202.5,-1.0
-99.5999999993228,-202.5,-1.0
-99.19999999930953,-202.5,-1.0
-98.79999999929623,-202.5,-1.0
-98.39999999928295,-202.5,-1.0
-97.99999999926968,-202.5,-1.0
-97.5999999992564,-202.5,-1.0
-97.19999999924312,-202.5,-1.0
-96.79999999922984,-202.5,-1.0
-96.39999999921656,-202.5,-1.0
-95.99999999920328,-202.5,-1.0
-95.59999999919,-202.5,-1.0
-95.19999999917673,-202.5,-1.0
-94.79999999916345,-202.5,-1.0
-94.39999999915015,-202.5,-1.0
