H,M,Mn
-120.0,-427.0,-1.0
-119.59999999998672,-427.0,-1.0
-119.19999999997344,-427.0,-1.0
-118.79999999996016,-427.0,-1.0
-118.39999999994689,-427.0,-1.0
-117.9999999999336,-427.0,-1.0
-117.59999999992031,-427.0,-1.0
-117.19999999990704,-427.0,-1.0
-116.79999999989376,-427.0,-1.0
-116.39999999988048,-427.0,-1.0
-115.9999999998672,-427.0,-1.0
-115.59999999985394,-427.0,-1.0
-115.19999999984066,-427.0,-1.0
-114.79999999982738,-427.0,-1.0
-114.3999999998141,-427.0,-1.0
-113.99999999980082,-427.0,-1.0
-113.59999999978754,-427.0,-1.0
-113.19999999977426,-427.0,-1.0
-112.79999999976098,-427.0,-1.0
-112.3999999997477,-427.0,-1.0
-111.99999999973444,-427.0,-1.0
-111.59999999972116,-427.0,-1.0
-111.19999999970788,-427.0,-1.0
-110.7999999996946,-427.0,-1.0
-110.39999999968131,-427.0,-1.0
-109.99999999966803,-427.0,-1.0
-109.59999999965476,-427.0,-1.0
-109.19999999964148,-427.0,-1.0
-108.7999999996282,-427.0,-1.0
-108.39999999961492,-427.0,-1.0
-107.99999999960164,-427.0,-1.0
-107.59999999958836,-427.0,-1.0
-107.19999999957508,-427.0,-1.0
-106.7999999995618,-427.0,-1.0
-106.39999999954853,-427.0,-1.0
-105.99999999953523,-427.0,-1.0
-105.59999999952196,-427.0,-1.0
-105.19999999950868,-427.0,-1.0
-104.7999999994954,-427.0,-1.0
-104.39999999948212,-427.0,-1.0
-103.99999999946886,-427.0,-1.0
-103.59999999945558,-427.0,-1.0
-103.1999999994423,-427.0,-1.0
-102.79999999942902,-427.0,-1.0
-102.39999999941574,-427.0,-1.0
-101.99999999940246,-427.0,-1.0
-101.59999999938918,-427.0,-1.0
-101.1999999993759,-427.0,-1.0
-100.79999999936264,-427.0,-1.0
-100.39999999934936,-427.0,-1.0
-99.99999999933608,-427.0,-1.0
-99.5999999993228,-427.0,-1.0
-99.19999999930953,-427.0,-1.0
-98.79999999929623,-427.0,-1.0
-98.39999999928295,-427.0,-1.0
-97.99999999926968,-427.0,-1.0
-97.5999999992564,-427.0,-1.0
-97.19999999924312,-427.0,-1.0
-96.79999999922984,-427.0,-1.0
-96.39999999921656,-427.0,-1.0
-95.99999999920328,-427.0,-1.0
-95.59999999919,-427.0,-1.0
-95.19999999917673,-427.0,-1.0
-94.79999999916345,-427.0,-1.0
-94.39999999915015,-427.0,-1.0
-93.99999999913688,-427.0,-1.0
-93.5999999991236,-427.0,-1.0
-93.19999999911032,-427.0,-1.0
-92.79999999909704,-427.0,-1.0
-92.39999999908378,-427.0,-1.0
-91.9999999990705,-427.0,-1.0
-91.59999999905722,-427.0,-1.0
-91.19999999904394,-427.0,-1.0
-90.79999999903066,-427.0,-1.0
-90.39999999901738,-427.0,-1.0
-89.9999999990041,-427.0,-1.0
-89.59999999899082,-427.0,-1.0
-89.19999999897755,-427.0,-1.0
-88.79999999896427,-427.0,-1.0
-88.39999999895099,-427.0,-1.0
-87.99999999893771,-427.0,-1.0
-87.59999999892443,-427.0,-1.0
-87.19999999891115,-427.0,-1.0
-86.79999999889787,-427.0,-1.0
-86.3999999988846,-427.0,-1.0
-85.99999999887132,-427.0,-1.0
-85.59999999885804,-427.0,-1.0
-85.19999999884476,-427.0,-1.0
-84.79999999883148,-427.0,-1.0
-84.3999999988182,-427.0,-1.0
-83.99999999880492,-427.0,-1.0
-83.59999999879165,-427.0,-1.0
-83.19999999877837,-427.0,-1.0
-82.79999999876509,-427.0,-1.0
-82.39999999875181,-427.0,-1.0
-81.99999999873853,-427.0,-1.0
-81.59999999872525,-427.0,-1.0
-81.19999999871197,-427.0,-1.0
-80.7999999986987,-427.0,-1.0
-80.39999999868542,-427.0,-1.0
-79.99999999867214,-427.0,-1.0
-79.59999999865886,-427.0,-1.0
-79.19999999864558,-427.0,-1.0
-78.7999999986323,-427.0,-1.0
-78.39999999861902,-427.0,-1.0
-77.99999999860574,-427.0,-1.0
-77.59999999859247,-427.0,-1.0
-77.19999999857919,-427.0,-1.0
-76.79999999856591,-427.0,-1.0
-76.39999999855263,-427.0,-1.0
-75.99999999853935,-427.0,-1.0
-75.59999999852607,-427.0,-1.0
-75.1999999985128,-427.0,-1.0
-74.79999999849952,-427.0,-1.0
-74.39999999848624,-427.0,-1.0
-73.99999999847296,-427.0,-1.0
-73.59999999845968,-427.0,-1.0
-73.1999999984464,-427.0,-1.0
-72.79999999843312,-427.0,-1.0
-72.39999999841984,-427.0,-1.0
-71.99999999840657,-427.0,-1.0
-71.59999999839329,-427.0,-1.0
-71.19999999838001,-427.0,-1.0
-70.79999999836673,-427.0,-1.0
-70.39999999835345,-427.0,-1.0
-69.99999999834017,-427.0,-1.0
