H,M,Mn
-120.0,-7777.0,-1.0
-119.59999999998672,-7777.0,-1.0
-119.19999999997344,-7777.0,-1.0
-118.79999999996016,-7777.0,-1.0
-118.39999999994689,-7777.0,-1.0
-117.9999999999336,-7777.0,-1.0
-117.59999999992031,-7777.0,-1.0
-117.19999999990704,-7777.0,-1.0
-116.79999999989376,-7777.0,-1.0
-116.39999999988048,-7777.0,-1.0
-115.9999999998672,-7777.0,-1.0
-115.59999999985394,-7777.0,-1.0
-115.19999999984066,-7777.0,-1.0
-114.79999999982738,-7777.0,-1.0
-114.3999999998141,-7777.0,-1.0
-113.99999999980082,-7777.0,-1.0
-113.59999999978754,-7777.0,-1.0
-113.19999999977426,-7777.0,-1.0
-112.79999999976098,-7777.0,-1.0
-112.3999999997477,-7777.0,-1.0
-111.99999999973444,-7777.0,-1.0
-111.59999999972116,-7777.0,-1.0
-111.19999999970788,-7777.0,-1.0
-110.7999999996946,-7777.0,-1.0
-110.39999999968131,-7777.0,-1.0
-109.99999999966803,-7777.0,-1.0
-109.59999999965476,-7777.0,-1.0
-109.19999999964148,-7777.0,-1.0
-108.7999999996282,-7777.0,-1.0
-108.39999999961492,-7777.0,-1.0
-107.99999999960164,-7777.0,-1.0
-107.59999999958836,-7777.0,-1.0
-107.19999999957508,-7777.0,-1.0
-106.7999999995618,-7777.0,-1.0
-106.39999999954853,-7777.0,-1.0
-105.99999999953523,-7777.0,-1.0
-105.59999999952196,-7777.0,-1.0
-105.19999999950868,-7777.0,-1.0
-104.7999999994954,-7777.0,-1.0
-104.39999999948212,-7777.0,-1.0
-103.99999999946886,-7777.0,-1.0
-103.59999999945558,-7776.0,-0.999871415713
-103.1999999994423,-7776.0,-0.999871415713
-102.79999999942902,-7776.0,-0.999871415713
-102.39999999941574,-7775.0,-0.9997428314259996
-101.99999999940246,-7775.0,-0.9997428314259996
-101.59999999938918,-7776.0,-0.999871415713
-101.1999999993759,-7776.0,-0.999871415713
-100.79999999936264,-7777.0,-1.0
-100.39999999934936,-7777.0,-1.0
-99.99999999933608,-7777.0,-1.0
-99.5999999993228,-7777.0,-1.0
-99.19999999930953,-7777.0,-1.0
-98.79999999929623,-7777.0,-1.0
-98.39999999928295,-7777.0,-1.0
-97.99999999926968,-7777.0,-1.0
-97.5999999992564,-7777.0,-1.0
-97.19999999924312,-7777.0,-1.0
-96.79999999922984,-7777.0,-1.0
-96.39999999921656,-7777.0,-1.0
-95.99999999920328,-7777.0,-1.0
-95.59999999919,-7777.0,-1.0
-95.19999999917673,-7777.0,-1.0
-94.79999999916345,-7777.0,-1.0
-94.39999999915015,-7777.0,-1.0
-93.99999999913688,-7777.0,-1.0
-93.5999999991236,-7777.0,-1.0
-93.19999999911032,-7777.0,-1.0
-92.79999999909704,-7777.0,-1.0
-92.39999999908378,-7777.0,-1.0
-91.9999999990705,-7777.0,-1.0
-91.59999999905722,-7777.0,-1.0
-91.19999999904394,-7777.0,-1.0
-90.79999999903066,-7777.0,-1.0
-90.39999999901738,-7777.0,-1.0
-89.9999999990041,-7777.0,-1.0
-89.59999999899082,-7777.0,-1.0
-89.19999999897755,-7777.0,-1.0
-88.79999999896427,-7777.0,-1.0
-88.39999999895099,-7777.0,-1.0
-87.99999999893771,-7777.0,-1.0
-87.59999999892443,-7777.0,-1.0
-87.19999999891115,-7777.0,-1.0
-86.79999999889787,-7777.0,-1.0
-86.3999999988846,-7777.0,-1.0
-85.99999999887132,-7777.0,-1.0
-85.59999999885804,-7777.0,-1.0
-85.19999999884476,-7777.0,-1.0
-84.79999999883148,-7777.0,-1.0
-84.3999999988182,-7777.0,-1.0
-83.99999999880492,-7777.0,-1.0
-83.59999999879165,-7777.0,-1.0
-83.19999999877837,-7777.0,-1.0
-82.79999999876509,-7777.0,-1.0
-82.39999999875181,-7777.0,-1.0
-81.99999999873853,-7777.0,-1.0
-81.59999999872525,-7777.0,-1.0
-81.19999999871197,-7777.0,-1.0
-80.7999999986987,-7777.0,-1.0
-80.39999999868542,-7777.0,-1.0
