H,M,Mn
-120.0,-1000.0,-1.0
-119.59999999998672,-1000.0,-1.0
-119.19999999997344,-999.0,-0.999
-118.79999999996016,-999.0,-0.999
-118.39999999994689,-1000.0,-1.0
-117.9999999999336,-1000.0,-1.0
-117.59999999992031,-999.0,-0.999
-117.19999999990704,-1000.0,-1.0
-116.79999999989376,-999.0,-0.999
-116.39999999988048,-999.0,-0.999
-115.9999999998672,-999.0,-0.999
-115.59999999985394,-1000.0,-1.0
-115.19999999984066,-1000.0,-1.0
-114.79999999982738,-999.0,-0.999
-114.3999999998141,-998.0,-0.998
-113.99999999980082,-999.0,-0.999
-113.59999999978754,-999.0,-0.999
-113.19999999977426,-1000.0,-1.0
-112.79999999976098,-999.0,-0.999
-112.3999999997477,-999.0,-0.999
-111.99999999973444,-997.0,-0.997
-111.59999999972116,-998.0,-0.998
-111.19999999970788,-998.0,-0.998
-110.7999999996946,-1000.0,-1.0
-110.39999999968131,-1000.0,-1.0
-109.99999999966803,-1000.0,-1.0
-109.59999999965476,-1000.0,-1.0
-109.19999999964148,-999.0,-0.999
-108.7999999996282,-999.0,-0.999
-108.39999999961492,-1000.0,-1.0
-107.99999999960164,-999.0,-0.999
-107.59999999958836,-1000.0,-1.0
-107.19999999957508,-1000.0,-1.0
-106.7999999995618,-1000.0,-1.0
-106.39999999954853,-999.0,-0.999
-105.99999999953523,-999.0,-0.999
-105.59999999952196,-999.0,-0.999
-105.19999999950868,-1000.0,-1.0
-104.7999999994954,-997.0,-0.997
-104.39999999948212,-998.0,-0.998
-103.99999999946886,-998.0,-0.998
-103.59999999945558,-1000.0,-1.0
-103.1999999994423,-999.0,-0.999
-102.79999999942902,-999.0,-0.999
-102.39999999941574,-1000.0,-1.0
-101.99999999940246,-998.0,-0.998
-101.59999999938918,-997.0,-0.997
-101.1999999993759,-997.0,-0.997
-100.79999999936264,-997.0,-0.997
-100.39999999934936,-997.0,-0.997
-99.99999999933608,-997.0,-0.997
-99.5999999993228,-997.0,-0.997
-99.19999999930953,-998.0,-0.998
-98.79999999929623,-997.0,-0.997
-98.39999999928295,-998.0,-0.998
-97.99999999926968,-999.0,-0.999
-97.5999999992564,-998.0,-0.998
-97.19999999924312,-998.0,-0.998
-96.79999999922984,-1000.0,-1.0
-96.39999999921656,-1000.0,-1.0
-95.99999999920328,-998.0,-0.998
-95.59999999919,-996.0,-0.996
-95.19999999917673,-994.0,-0.994
-94.79999999916345,-997.0,-0.997
-94.39999999915015,-997.0,-0.997
-93.99999999913688,-996.0,-0.996
-93.5999999991236,-993.0,-0.993
-93.19999999911032,-997.0,-0.997
-92.79999999909704,-998.0,-0.998
-92.39999999908378,-999.0,-0.999
-91.9999999990705,-998.0,-0.998
-91.59999999905722,-998.0,-0.998
-91.19999999904394,-1000.0,-1.0
-90.79999999903066,-999.0,-0.999
-90.39999999901738,-999.0,-0.999
-89.9999999990041,-996.0,-0.996
-89.59999999899082,-997.0,-0.997
-89.19999999897755,-999.0,-0.999
-88.79999999896427,-996.0,-0.996
-88.39999999895099,-998.0,-0.998
-87.99999999893771,-993.0,-0.993
-87.59999999892443,-991.0,-0.991
-87.19999999891115,-992.0,-0.992
-86.79999999889787,-999.0,-0.999
-86.3999999988846,-995.0,-0.995
-85.99999999887132,-996.0,-0.996
-85.59999999885804,-995.0,-0.995
-85.19999999884476,-996.0,-0.996
-84.79999999883148,-995.0,-0.995
-84.3999999988182,-995.0,-0.995
-83.99999999880492,-998.0,-0.998
-83.59999999879165,-994.0,-0.994
-83.19999999877837,-993.0,-0.993
-82.79999999876509,-994.0,-0.994
-82.39999999875181,-997.0,-0.997
-81.99999999873853,-992.0,-0.992
-81.59999999872525,-994.0,-0.994
-81.19999999871197,-986.0,-0.986
-80.7999999986987,-992.0,-0.992
-80.39999999868542,-993.0,-0.993
-79.99999999867214,-991.0,-0.991
-79.59999999865886,-991.0,-0.991
-79.19999999864558,-996.0,-0.996
-78.7999999986323,-990.0,-0.99
-78.39999999861902,-990.0,-0.99
-77.99999999860574,-987.0,-0.987
-77.59999999859247,-988.0,-0.988
-77.19999999857919,-991.0,-0.991
-76.79999999856591,-993.0,-0.993
-76.39999999855263,-994.0,-0.994
-75.99999999853935,-988.0,-0.988
-75.59999999852607,-993.0,-0.993
-75.1999999985128,-991.0,-0.991
-74.79999999849952,-987.0,-0.987
-74.39999999848624,-991.0,-0.991
-73.99999999847296,-989.0,-0.989
-73.59999999845968,-990.0,-0.99
-73.1999999984464,-993.0,-0.993
-72.79999999843312,-990.0,-0.99
-72.39999999841984,-990.0,-0.99
-71.99999999840657,-990.0,-0.99
-71.59999999839329,-983.0,-0.983
-71.19999999838001,-987.0,-0.987
-70.79999999836673,-987.0,-0.987
-70.39999999835345,-989.0,-0.989
-69.99999999834017,-987.0,-0.987
-69.5999999983269,-984.0,-0.984
-69.19999999831361,-986.0,-0.986
-68.79999999830034,-988.0,-0.988
-68.39999999828706,-984.0,-0.984
-67.99999999827378,-982.0,-0.982
-67.5999999982605,-984.0,-0.984
-67.19999999824722,-987.0,-0.987
-66.79999999823394,-980.0,-0.98
-66.39999999822066,-981.0,-0.981
-65.99999999820739,-985.0,-0.985
-65.59999999819411,-982.0,-0.982
-65.19999999818083,-987.0,-0.987
-64.79999999816755,-982.0,-0.982
-64.39999999815427,-983.0,-0.983
-63.99999999814099,-975.0,-0.975
-63.599999998127714,-981.0,-0.981
-63.19999999811444,-982.0,-0.982
-62.79999999810116,-978.0,-0.978
-62.39999999808788,-977.0,-0.977
-61.9999999980746,-973.0,-0.973
-61.59999999806132,-966.0,-0.966
-61.19999999804804,-967.0,-0.967
-60.79999999803477,-967.0,-0.967
-60.399999998021485,-980.0,-0.98
-59.99999999800821,-969.0,-0.969
-59.59999999799493,-977.0,-0.977
-59.19999999798165,-968.0,-0.968
-58.79999999796837,-965.0,-0.965
-58.39999999795509,-971.0,-0.971
-57.99999999794181,-972.0,-0.972
-57.599999997928535,-966.0,-0.966
-57.199999997915256,-978.0,-0.978
-56.79999999790198,-977.0,-0.977
-56.3999999978887,-970.0,-0.97
-55.99999999787542,-971.0,-0.971
-55.59999999786214,-963.0,-0.963
-55.19999999784886,-954.0,-0.954
-54.79999999783559,-963.0,-0.963
-54.39999999782231,-954.0,-0.954
-53.99999999780903,-947.0,-0.947
-53.59999999779575,-957.0,-0.957
-53.19999999778247,-961.0,-0.961
-52.79999999776919,-953.0,-0.953
-52.39999999775591,-944.0,-0.944
-51.99999999774264,-944.0,-0.944
-51.59999999772936,-951.0,-0.951
-51.19999999771608,-956.0,-0.956
-50.7999999977028,-949.0,-0.949
-50.39999999768952,-938.0,-0.938
-49.99999999767624,-940.0,-0.94
-49.59999999766296,-951.0,-0.951
-49.19999999764968,-948.0,-0.948
-48.799999997636405,-954.0,-0.954
-48.39999999762313,-937.0,-0.937
-47.99999999760985,-939.0,-0.939
-47.59999999759657,-937.0,-0.937
-47.19999999758329,-938.0,-0.938
-46.79999999757001,-933.0,-0.933
-46.39999999755673,-912.0,-0.912
-45.999999997543455,-928.0,-0.928
-45.599999997530176,-940.0,-0.94
-45.1999999975169,-928.0,-0.928
-44.79999999750362,-926.0,-0.926
-44.39999999749034,-915.0,-0.915
-43.99999999747706,-939.0,-0.939
-43.59999999746378,-945.0,-0.945
-43.1999999974505,-922.0,-0.922
-42.799999997437226,-911.0,-0.911
-42.39999999742395,-911.0,-0.911
-41.99999999741067,-912.0,-0.912
-41.59999999739739,-916.0,-0.916
-41.19999999738411,-909.0,-0.909
-40.79999999737083,-908.0,-0.908
-40.399999997357554,-904.0,-0.904
-39.99999999734428,-893.0,-0.893
-39.599999997331,-900.0,-0.9
-39.19999999731772,-900.0,-0.9
-38.79999999730444,-894.0,-0.894
-38.39999999729116,-876.0,-0.876
-37.99999999727788,-859.0,-0.859
-37.59999999726461,-878.0,-0.878
-37.199999997251325,-874.0,-0.874
-36.79999999723805,-853.0,-0.853
-36.39999999722477,-881.0,-0.881
-35.99999999721149,-852.0,-0.852
-35.59999999719821,-878.0,-0.878
-35.19999999718493,-854.0,-0.854
-34.79999999717165,-838.0,-0.838
-34.399999997158375,-834.0,-0.834
-33.999999997145096,-834.0,-0.834
-33.59999999713182,-819.0,-0.819
-33.19999999711854,-844.0,-0.844
-32.79999999710526,-847.0,-0.847
-32.39999999709198,-841.0,-0.841
-31.999999997078703,-832.0,-0.832
-31.599999997065424,-833.0,-0.833
-31.199999997052146,-811.0,-0.811
-30.799999997038867,-789.0,-0.789
-30.39999999702559,-820.0,-0.82
-29.99999999701231,-793.0,-0.793
-29.59999999699903,-795.0,-0.795
-29.199999996985756,-809.0,-0.809
-28.799999996972478,-801.0,-0.801
-28.399999996959195,-793.0,-0.793
-27.99999999694592,-780.0,-0.78
-27.59999999693264,-794.0,-0.794
-27.19999999691936,-771.0,-0.771
-26.79999999690608,-746.0,-0.746
-26.3999999968928,-756.0,-0.756
-25.999999996879524,-748.0,-0.748
-25.599999996866245,-747.0,-0.747
-25.199999996852966,-737.0,-0.737
-24.799999996839688,-717.0,-0.717
-24.39999999682641,-719.0,-0.719
-23.99999999681313,-720.0,-0.72
