H,M,Mn
-120.0,-429.5,-1.0
-119.59999999998672,-429.5,-1.0
-119.19999999997344,-429.5,-1.0
-118.79999999996016,-429.5,-1.0
-118.39999999994689,-429.5,-1.0
-117.9999999999336,-429.5,-1.0
-117.59999999992031,-429.5,-1.0
-117.19999999990704,-429.5,-1.0
-116.79999999989376,-429.5,-1.0
-116.39999999988048,-429.5,-1.0
-115.9999999998672,-429.5,-1.0
-115.59999999985394,-429.5,-1.0
-115.19999999984066,-429.5,-1.0
-114.79999999982738,-429.5,-1.0
-114.3999999998141,-429.5,-1.0
-113.99999999980082,-429.5,-1.0
-113.59999999978754,-429.5,-1.0
-113.19999999977426,-429.5,-1.0
-112.79999999976098,-429.5,-1.0
-112.3999999997477,-429.5,-1.0
-111.99999999973444,-429.5,-1.0
-111.59999999972116,-429.5,-1.0
-111.19999999970788,-429.5,-1.0
-110.7999999996946,-429.5,-1.0
-110.39999999968131,-429.5,-1.0
-109.99999999966803,-429.5,-1.0
-109.59999999965476,-429.5,-1.0
-109.19999999964148,-429.5,-1.0
-108.7999999996282,-429.5,-1.0
-108.39999999961492,-429.5,-1.0
-107.99999999960164,-429.5,-1.0
-107.59999999958836,-429.5,-1.0
-107.19999999957508,-429.5,-1.0
-106.7999999995618,-429.5,-1.0
-106.39999999954853,-429.5,-1.0
-105.99999999953523,-429.5,-1.0
-105.59999999952196,-429.5,-1.0
-105.19999999950868,-429.5,-1.0
-104.7999999994954,-429.5,-1.0
-104.39999999948212,-429.5,-1.0
-103.99999999946886,-429.5,-1.0
-103.59999999945558,-429.5,-1.0
-103.1999999994423,-429.5,-1.0
-102.79999999942902,-429.5,-1.0
-102.39999999941574,-429.5,-1.0
-101.99999999940246,-429.5,-1.0
-101.59999999938918,-429.5,-1.0
-101.1999999993759,-429.5,-1.0
-100.79999999936264,-429.5,-1.0
-100.39999999934936,-429.5,-1.0
-99.99999999933608,-429.5,-1.0
-99.5999999993228,-429.5,-1.0
-99.19999999930953,-429.5,-1.0
-98.79999999929623,-429.5,-1.0
-98.39999999928295,-429.5,-1.0
-97.99999999926968,-429.5,-1.0
-97.5999999992564,-429.5,-1.0
-97.19999999924312,-429.5,-1.0
-96.79999999922984,-429.5,-1.0
-96.39999999921656,-429.5,-1.0
-95.99999999920328,-429.5,-1.0
-95.59999999919,-429.5,-1.0
-95.19999999917673,-429.5,-1.0
-94.79999999916345,-429.5,-1.0
-94.39999999915015,-429.5,-1.0
-93.99999999913688,-429.5,-1.0
-93.5999999991236,-429.5,-1.0
-93.19999999911032,-429.5,-1.0
-92.79999999909704,-429.5,-1.0
-92.39999999908378,-425.5,-0.9906868451688008
-91.9999999990705,-429.5,-1.0
-91.59999999905722,-429.5,-1.0
-91.19999999904394,-429.5,-1.0
-90.79999999903066,-429.5,-1.0
-90.39999999901738,-429.5,-1.0
-89.9999999990041,-429.5,-1.0
-89.59999999899082,-429.5,-1.0
-89.19999999897755,-429.5,-1.0
-88.79999999896427,-429.5,-1.0
-88.39999999895099,-429.5,-1.0
-87.99999999893771,-429.5,-1.0
-87.59999999892443,-429.5,-1.0
-87.19999999891115,-429.5,-1.0
-86.79999999889787,-429.5,-1.0
-86.3999999988846,-429.5,-1.0
-85.99999999887132,-429.5,-1.0
-85.59999999885804,-429.5,-1.0
-85.19999999884476,-429.5,-1.0
-84.79999999883148,-429.5,-1.0
-84.3999999988182,-429.5,-1.0
-83.99999999880492,-429.5,-1.0
-83.59999999879165,-429.5,-1.0
-83.19999999877837,-429.5,-1.0
-82.79999999876509,-429.5,-1.0
-82.39999999875181,-429.5,-1.0
-81.99999999873853,-429.5,-1.0
-81.59999999872525,-429.5,-1.0
-81.19999999871197,-429.5,-1.0
-80.7999999986987,-429.5,-1.0
-80.39999999868542,-429.5,-1.0
-79.99999999867214,-429.5,-1.0
-79.59999999865886,-429.5,-1.0
-79.19999999864558,-429.5,-1.0
-78.7999999986323,-429.5,-1.0
-78.39999999861902,-429.5,-1.0
-77.99999999860574,-429.5,-1.0
-77.59999999859247,-429.5,-1.0
-77.19999999857919,-429.5,-1.0
-76.79999999856591,-429.5,-1.0
-76.39999999855263,-429.5,-1.0
-75.99999999853935,-429.5,-1.0
-75.59999999852607,-429.5,-1.0
-75.1999999985128,-429.5,-1.0
-74.79999999849952,-429.5,-1.0
-74.39999999848624,-429.5,-1.0
-73.99999999847296,-429.5,-1.0
-73.59999999845968,-429.5,-1.0
-73.1999999984464,-429.5,-1.0
-72.79999999843312,-429.5,-1.0
-72.39999999841984,-429.5,-1.0
-71.99999999840657,-426.5,-0.9930151338766008
-71.59999999839329,-429.5,-1.0
-71.19999999838001,-429.5,-1.0
-70.79999999836673,-429.5,-1.0
-70.39999999835345,-429.5,-1.0
-69.99999999834017,-429.5,-1.0
-69.5999999983269,-424.5,-0.9883585564610012
-69.19999999831361,-426.5,-0.9930151338766008
-68.79999999830034,-429.5,-1.0
-68.39999999828706,-429.5,-1.0
-67.99999999827378,-429.5,-1.0
-67.5999999982605,-429.5,-1.0
-67.19999999824722,-429.5,-1.0
-66.79999999823394,-429.5,-1.0
-66.39999999822066,-429.5,-1.0
-65.99999999820739,-429.5,-1.0
-65.59999999819411,-423.5,-0.9860302677532014
-65.19999999818083,-429.5,-1.0
-64.79999999816755,-429.5,-1.0
-64.39999999815427,-429.5,-1.0
-63.99999999814099,-429.5,-1.0
-63.599999998127714,-429.5,-1.0
-63.19999999811444,-429.5,-1.0
-62.79999999810116,-429.5,-1.0
-62.39999999808788,-429.5,-1.0
-61.9999999980746,-429.5,-1.0
-61.59999999806132,-429.5,-1.0
-61.19999999804804,-429.5,-1.0
-60.79999999803477,-429.5,-1.0
-60.399999998021485,-429.5,-1.0
-59.99999999800821,-429.5,-1.0
-59.59999999799493,-429.5,-1.0
-59.19999999798165,-429.5,-1.0
-58.79999999796837,-429.5,-1.0
-58.39999999795509,-429.5,-1.0
-57.99999999794181,-429.5,-1.0
-57.599999997928535,-429.5,-1.0
-57.199999997915256,-429.5,-1.0
-56.79999999790198,-429.5,-1.0
-56.3999999978887,-429.5,-1.0
-55.99999999787542,-429.5,-1.0
-55.59999999786214,-429.5,-1.0
-55.19999999784886,-429.5,-1.0
-54.79999999783559,-429.5,-1.0
-54.39999999782231,-423.5,-0.9860302677532014
-53.99999999780903,-429.5,-1.0
-53.59999999779575,-429.5,-1.0
-53.19999999778247,-426.5,-0.9930151338766008
-52.79999999776919,-424.5,-0.9883585564610012
-52.39999999775591,-415.5,-0.9674039580908032
-51.99999999774264,-429.5,-1.0
-51.59999999772936,-429.5,-1.0
-51.19999999771608,-426.5,-0.9930151338766008
-50.7999999977028,-429.5,-1.0
-50.39999999768952,-429.5,-1.0
-49.99999999767624,-429.5,-1.0
-49.59999999766296,-424.5,-0.9883585564610012
-49.19999999764968,-429.5,-1.0
-48.799999997636405,-426.5,-0.9930151338766008
-48.39999999762313,-425.5,-0.9906868451688008
-47.99999999760985,-422.5,-0.9837019790454016
-47.59999999759657,-420.5,-0.979045401629802
-47.19999999758329,-425.5,-0.9906868451688008
-46.79999999757001,-423.5,-0.9860302677532014
-46.39999999755673,-426.5,-0.9930151338766008
-45.999999997543455,-427.5,-0.9953434225844005
-45.599999997530176,-422.5,-0.9837019790454016
-45.1999999975169,-424.5,-0.9883585564610012
-44.79999999750362,-416.5,-0.969732246798603
-44.39999999749034,-413.5,-0.9627473806752036
-43.99999999747706,-424.5,-0.9883585564610012
-43.59999999746378,-411.5,-0.9580908032596042
-43.1999999974505,-419.5,-0.9767171129220024
-42.799999997437226,-427.5,-0.9953434225844005
-42.39999999742395,-415.5,-0.9674039580908032
-41.99999999741067,-425.5,-0.9906868451688008
-41.59999999739739,-420.5,-0.979045401629802
-41.19999999738411,-425.5,-0.9906868451688008
-40.79999999737083,-414.5,-0.9650756693830036
-40.399999997357554,-426.5,-0.9930151338766008
-39.99999999734428,-427.5,-0.9953434225844005
-39.599999997331,-422.5,-0.9837019790454016
-39.19999999731772,-418.5,-0.9743888242142026
-38.79999999730444,-419.5,-0.9767171129220024
-38.39999999729116,-417.5,-0.9720605355064028
-37.99999999727788,-418.5,-0.9743888242142026
-37.59999999726461,-417.5,-0.9720605355064028
-37.199999997251325,-410.5,-0.9557625145518044
-36.79999999723805,-403.5,-0.939464493597206
-36.39999999722477,-399.5,-0.930151338766007
-35.99999999721149,-410.5,-0.9557625145518044
-35.59999999719821,-400.5,-0.9324796274738067
-35.19999999718493,-416.5,-0.969732246798603
-34.79999999717165,-408.5,-0.9511059371362048
-34.399999997158375,-426.5,-0.9930151338766008
-33.999999997145096,-399.5,-0.930151338766007
-33.59999999713182,-409.5,-0.9534342258440046
-33.19999999711854,-403.5,-0.939464493597206
-32.79999999710526,-408.5,-0.9511059371362048
-32.39999999709198,-422.5,-0.9837019790454016
-31.999999997078703,-415.5,-0.9674039580908032
-31.599999997065424,-399.5,-0.930151338766007
-31.199999997052146,-401.5,-0.9348079161816064
-30.799999997038867,-396.5,-0.9231664726426076
-30.39999999702559,-414.5,-0.9650756693830036
-29.99999999701231,-425.5,-0.9906868451688008
-29.59999999699903,-416.5,-0.969732246798603
-29.199999996985756,-378.5,-0.8812572759022119
-28.799999996972478,-385.5,-0.8975552968568102
-28.399999996959195,-386.5,-0.89988358556461
-27.99999999694592,-375.5,-0.8742724097788126
-27.59999999693264,-408.5,-0.9511059371362048
-27.19999999691936,-395.5,-0.920838183934808
-26.79999999690608,-414.5,-0.9650756693830036
-26.3999999968928,-382.5,-0.8905704307334109
-25.999999996879524,-405.5,-0.9441210710128056
-25.599999996866245,-390.5,-0.9091967403958092
-25.199999996852966,-384.5,-0.8952270081490105
-24.799999996839688,-385.5,-0.8975552968568102
-24.39999999682641,-363.5,-0.8463329452852154
-23.99999999681313,-377.5,-0.8789289871944121
-23.59999999679985,-386.5,-0.89988358556461
-23.199999996786573,-372.5,-0.8672875436554133
-22.79999999677329,-345.5,-0.8044237485448196
-22.399999996760016,-355.5,-0.8277066356228172
-21.999999996746737,-339.5,-0.7904540162980209
-21.59999999673346,-380.5,-0.8859138533178114
-21.19999999672018,-375.5,-0.8742724097788126
-20.7999999967069,-350.5,-0.8160651920838184
-20.399999996693623,-339.5,-0.7904540162980209
-19.999999996680344,-365.5,-0.8509895227008148
-19.599999996667066,-336.5,-0.7834691501746216
-19.199999996653787,-360.5,-0.8393480791618161
-18.79999999664051,-323.5,-0.7532013969732246
-18.39999999662723,-328.5,-0.7648428405122235
-17.99999999661395,-338.5,-0.7881257275902211
-17.599999996600673,-350.5,-0.8160651920838184
-17.199999996587394,-324.5,-0.7555296856810244
-16.799999996574115,-333.5,-0.7764842840512224
-16.399999996560837,-319.5,-0.7438882421420256
-15.999999996547558,-333.5,-0.7764842840512224
-15.59999999653428,-274.5,-0.6391152502910361
-15.199999996521,-266.5,-0.6204889406286379
-14.799999996507722,-283.5,-0.660069848661234
-14.399999996494444,-280.5,-0.6530849825378346
-13.999999996481163,-254.5,-0.5925494761350407
-13.599999996467886,-260.5,-0.6065192083818394
-13.199999996454608,-278.5,-0.6484284051222352
-12.79999999644133,-241.5,-0.5622817229336438
-12.39999999642805,-258.5,-0.6018626309662398
-11.999999996414772,-289.5,-0.6740395809080326
-11.599999996401491,-244.5,-0.5692665890570431
-11.199999996388216,-234.5,-0.5459837019790454
-10.799999996374936,-221.5,-0.5157159487776485
-10.399999996361656,-223.5,-0.5203725261932479
-9.99999999634838,-182.5,-0.4249126891734575
-9.5999999963351,-208.5,-0.4854481955762514
-9.199999996321822,-170.5,-0.3969732246798603
-8.799999996308543,-174.5,-0.4062863795110594
-8.399999996295264,-195.5,-0.4551804423748545
-7.999999996281986,-226.5,-0.5273573923166472
-7.599999996268707,-212.5,-0.4947613504074505
-7.199999996255428,-147.5,-0.3434225844004656
-6.79999999624215,-122.5,-0.2852153667054715
-6.399999996228871,-162.5,-0.3783469150174621
-5.9999999962155925,-195.5,-0.4551804423748545
-5.599999996202314,-148.5,-0.3457508731082654
-5.199999996189035,-111.5,-0.259604190919674
-4.799999996175757,-102.5,-0.2386495925494761
-4.399999996162478,-82.5,-0.1920838183934808
-3.9999999961492,-136.5,-0.3178114086146682
-3.599999996135921,-85.5,-0.1990686845168801
-3.199999996122642,-44.5,-0.1036088474970896
-2.799999996109364,-83.5,-0.1944121071012805
-2.399999996096085,-11.5,-0.0267753201396973
-1.9999999960828063,-49.5,-0.1152502910360884
-1.5999999960695277,-29.5,-0.0686845168800931
-1.199999996056249,-48.5,-0.1129220023282887
-0.7999999960429705,-19.5,-0.0454016298020954
-0.3999999960296918,-0.5,-0.0011641443538998
3.983586793765426e-09,51.5,0.119906868451688
0.4000000039968654,50.5,0.1175785797438882
0.800000004010144,-28.5,-0.0663562281722933
1.2000000040234229,29.5,0.0686845168800931
1.6000000040367013,9.5,0.0221187427240977
2.00000000404998,66.5,0.1548311990686845
2.4000000040632585,109.5,0.2549476135040745
2.800000004076537,56.5,0.1315483119906868
3.200000004089816,78.5,0.1827706635622817
3.6000000041030944,106.5,0.2479627473806752
4.000000004116373,110.5,0.2572759022118743
4.400000004129652,79.5,0.1850989522700815
4.80000000414293,131.5,0.3061699650756694
5.200000004156209,76.5,0.1781140861466822
5.600000004169488,192.5,0.4481955762514552
6.000000004182766,152.5,0.3550640279394645
6.400000004196045,133.5,0.3108265424912689
6.800000004209323,191.5,0.4458672875436554
7.200000004222602,171.5,0.39930151338766
7.600000004235881,197.5,0.459837019790454
8.00000000424916,162.5,0.3783469150174621
8.400000004262438,172.5,0.4016298020954598
8.800000004275716,176.5,0.4109429569266589
9.200000004288995,217.5,0.5064027939464494
9.600000004302274,224.5,0.5227008149010477
10.000000004315552,259.5,0.6041909196740396
10.400000004328833,170.5,0.3969732246798603
10.80000000434211,197.5,0.459837019790454
11.200000004355388,247.5,0.5762514551804424
11.600000004368669,276.5,0.6437718277066357
12.000000004381944,277.5,0.6461001164144354
12.400000004395224,249.5,0.580908032596042
12.800000004408504,245.5,0.5715948777648429
13.20000000442178,291.5,0.6786961583236322
13.60000000443506,269.5,0.6274738067520372
14.00000000444834,318.5,0.7415599534342259
14.400000004461615,319.5,0.7438882421420256
14.800000004474896,335.5,0.7811408614668219
15.200000004488174,293.5,0.6833527357392316
15.600000004501451,326.5,0.760186263096624
16.00000000451473,306.5,0.7136204889406287
16.40000000452801,321.5,0.7485448195576252
16.80000000454129,326.5,0.760186263096624
17.200000004554568,318.5,0.7415599534342259
17.600000004567846,308.5,0.7182770663562281
18.000000004581125,315.5,0.7345750873108265
18.400000004594403,318.5,0.7415599534342259
18.80000000460768,328.5,0.7648428405122235
19.20000000462096,326.5,0.760186263096624
19.60000000463424,374.5,0.8719441210710128
20.00000000464752,357.5,0.8323632130384168
20.4000000046608,344.5,0.8020954598370198
20.800000004674075,363.5,0.8463329452852154
