T,M,Mn
0.2,2000.0,1.0
0.30000000000000004,2000.0,1.0
0.4000000000000001,2000.0,1.0
0.5000000000000001,2000.0,1.0
0.6000000000000001,2000.0,1.0
0.7000000000000002,2000.0,1.0
0.8000000000000003,2000.0,1.0
0.9000000000000001,1999.0,0.9995
1.0000000000000002,1998.0,0.999
1.1000000000000003,1999.0,0.9995
1.2000000000000004,1995.0,0.9975
1.3000000000000003,1991.0,0.9955
1.4000000000000004,1985.0,0.9925
1.5000000000000004,1977.0,0.9885
1.6000000000000003,1971.0,0.9855
1.7000000000000004,1956.0,0.978
1.8000000000000005,1932.0,0.966
1.9000000000000006,1920.0,0.96
2.000000000000001,1903.0,0.9515
2.1000000000000005,1869.0,0.9345
2.200000000000001,1836.0,0.918
2.3000000000000007,1804.0,0.902
2.400000000000001,1775.0,0.8875
2.500000000000001,1750.0,0.875
2.600000000000001,1694.0,0.847
2.700000000000001,1668.0,0.834
2.800000000000001,1616.0,0.808
2.9000000000000012,1577.0,0.7885
3.000000000000001,1521.0,0.7605
3.100000000000001,1496.0,0.748
3.200000000000001,1427.0,0.7135
3.300000000000001,1403.0,0.7015
3.4000000000000012,1358.0,0.679
3.5000000000000013,1317.0,0.6585
3.6000000000000014,1304.0,0.652
3.7000000000000015,1237.0,0.6185
3.8000000000000016,1190.0,0.595
3.9000000000000012,1164.0,0.582
4.000000000000001,1116.0,0.558
4.100000000000001,1066.0,0.533
4.200000000000002,1012.0,0.506
4.300000000000002,984.0,0.492
4.400000000000001,957.0,0.4785
4.500000000000002,927.0,0.4635
4.600000000000001,850.0,0.425
4.700000000000002,839.0,0.4195
4.800000000000002,836.0,0.418
4.900000000000002,791.0,0.3955
5.000000000000002,746.0,0.373
5.100000000000001,725.0,0.3625
5.200000000000002,712.0,0.356
5.300000000000002,664.0,0.332
5.400000000000002,664.0,0.332
5.500000000000002,644.0,0.322
5.600000000000002,621.0,0.3105
5.700000000000002,583.0,0.2915
5.800000000000002,549.0,0.2745
5.900000000000002,533.0,0.2665
6.000000000000002,531.0,0.2655
6.100000000000002,507.0,0.2535
6.200000000000002,499.0,0.2495
6.3000000000000025,482.0,0.241
6.400000000000002,491.0,0.2455
6.500000000000003,481.0,0.2405
6.600000000000002,460.0,0.23
6.700000000000002,427.0,0.2135
6.8000000000000025,427.0,0.2135
6.900000000000002,420.0,0.21
7.000000000000003,389.0,0.1945
7.100000000000002,416.0,0.208
7.200000000000003,430.0,0.215
7.3000000000000025,424.0,0.212
7.400000000000003,425.0,0.2125
7.500000000000003,361.0,0.1805
7.600000000000002,384.0,0.192
7.700000000000003,365.0,0.1825
7.8000000000000025,381.0,0.1905
7.900000000000003,383.0,0.1915
8.000000000000002,405.0,0.2025
8.100000000000003,379.0,0.1895
8.200000000000003,356.0,0.178
8.300000000000002,341.0,0.1705
8.400000000000002,329.0,0.1645
8.500000000000002,323.0,0.1615
8.600000000000001,291.0,0.1455
8.700000000000003,282.0,0.141
8.800000000000002,255.0,0.1275
8.900000000000002,278.0,0.139
9.000000000000002,270.0,0.135
9.100000000000001,251.0,0.1255
9.200000000000003,236.0,0.118
9.300000000000002,213.0,0.1065
9.400000000000002,227.0,0.1135
9.500000000000002,234.0,0.117
9.600000000000003,252.0,0.126
9.700000000000003,255.0,0.1275
9.800000000000002,236.0,0.118
9.900000000000002,255.0,0.1275
10.000000000000002,250.0,0.125
10.100000000000003,222.0,0.111
10.200000000000003,234.0,0.117
10.300000000000002,227.0,0.1135
10.400000000000002,240.0,0.12
10.500000000000004,253.0,0.1265
10.600000000000003,268.0,0.134
10.700000000000003,220.0,0.11
10.800000000000002,221.0,0.1105
10.900000000000002,204.0,0.102
11.000000000000004,208.0,0.104
11.100000000000003,199.0,0.0995
11.200000000000003,203.0,0.1015
11.300000000000002,219.0,0.1095
11.400000000000002,207.0,0.1035
11.500000000000004,210.0,0.105
11.600000000000003,184.0,0.092
11.700000000000003,159.0,0.0795
11.800000000000002,202.0,0.101
11.900000000000004,196.0,0.098
12.000000000000004,168.0,0.084
12.100000000000003,192.0,0.096
12.200000000000003,156.0,0.078
12.300000000000002,182.0,0.091
12.400000000000004,155.0,0.0775
12.500000000000004,159.0,0.0795
12.600000000000003,160.0,0.08
12.700000000000003,153.0,0.0765
12.800000000000004,174.0,0.087
12.900000000000004,188.0,0.094
13.000000000000004,212.0,0.106
13.100000000000003,234.0,0.117
13.200000000000003,210.0,0.105
13.300000000000004,193.0,0.0965
13.400000000000004,181.0,0.0905
13.500000000000004,167.0,0.0835
13.600000000000003,177.0,0.0885
13.700000000000005,214.0,0.107
13.800000000000004,204.0,0.102
13.900000000000004,199.0,0.0995
14.000000000000004,197.0,0.0985
14.100000000000003,185.0,0.0925
14.200000000000005,173.0,0.0865
14.300000000000004,166.0,0.083
14.400000000000004,146.0,0.073
14.500000000000004,154.0,0.077
14.600000000000005,192.0,0.096
14.700000000000005,154.0,0.077
14.800000000000004,135.0,0.0675
14.900000000000004,174.0,0.087
15.000000000000004,182.0,0.091
15.100000000000005,173.0,0.0865
15.200000000000005,163.0,0.0815
15.300000000000004,151.0,0.0755
15.400000000000004,133.0,0.0665
15.500000000000004,116.0,0.058
15.600000000000005,121.0,0.0605
15.700000000000005,118.0,0.059
15.800000000000004,150.0,0.075
15.900000000000004,188.0,0.094
16.000000000000007,179.0,0.0895
16.100000000000005,206.0,0.103
16.200000000000006,189.0,0.0945
16.300000000000004,178.0,0.089
16.400000000000006,140.0,0.07
16.500000000000004,106.0,0.053
16.600000000000005,158.0,0.079
16.700000000000006,198.0,0.099
16.800000000000004,153.0,0.0765
16.900000000000006,146.0,0.073
17.000000000000004,160.0,0.08
17.100000000000005,154.0,0.077
17.200000000000006,174.0,0.087
17.300000000000004,173.0,0.0865
17.400000000000006,196.0,0.098
17.500000000000004,171.0,0.0855
17.600000000000005,160.0,0.08
17.700000000000006,165.0,0.0825
17.800000000000004,110.0,0.055
17.900000000000006,91.0,0.0455
18.000000000000004,70.0,0.035
18.100000000000005,79.0,0.0395
18.200000000000006,114.0,0.057
18.300000000000004,158.0,0.079
18.400000000000006,146.0,0.073
18.500000000000007,134.0,0.067
18.600000000000005,139.0,0.0695
18.700000000000006,160.0,0.08
18.800000000000004,115.0,0.0575
18.900000000000006,129.0,0.0645
19.000000000000007,120.0,0.06
19.100000000000005,145.0,0.0725
19.200000000000006,137.0,0.0685
19.300000000000004,127.0,0.0635
19.400000000000006,128.0,0.064
19.500000000000007,112.0,0.056
19.600000000000005,106.0,0.053
19.700000000000006,159.0,0.0795
19.800000000000004,147.0,0.0735
19.900000000000006,134.0,0.067
20.000000000000007,120.0,0.06
20.100000000000005,123.0,0.0615
20.200000000000006,163.0,0.0815
20.300000000000004,133.0,0.0665
20.400000000000006,110.0,0.055
20.500000000000007,107.0,0.0535
20.600000000000005,115.0,0.0575
20.700000000000006,113.0,0.0565
20.800000000000008,116.0,0.058
20.900000000000006,128.0,0.064
21.000000000000007,106.0,0.053
21.100000000000005,115.0,0.0575
21.200000000000006,129.0,0.0645
21.300000000000008,123.0,0.0615
21.400000000000006,117.0,0.0585
21.500000000000007,79.0,0.0395
21.600000000000005,96.0,0.048
21.700000000000006,130.0,0.065
21.800000000000008,138.0,0.069
21.900000000000006,140.0,0.07
22.000000000000007,109.0,0.0545
22.100000000000005,119.0,0.0595
22.200000000000006,161.0,0.0805
22.300000000000008,181.0,0.0905
22.400000000000006,107.0,0.0535
22.500000000000007,107.0,0.0535
22.600000000000005,110.0,0.055
22.700000000000006,131.0,0.0655
22.800000000000008,105.0,0.0525
22.900000000000006,130.0,0.065
23.000000000000007,147.0,0.0735
23.10000000000001,97.0,0.0485
23.200000000000006,67.0,0.0335
23.300000000000008,98.0,0.049
23.400000000000006,47.0,0.0235
23.500000000000007,82.0,0.041
23.60000000000001,91.0,0.0455
23.700000000000006,95.0,0.0475
23.800000000000008,92.0,0.046
23.900000000000006,126.0,0.063
24.000000000000007,122.0,0.061
24.10000000000001,135.0,0.0675
24.200000000000006,135.0,0.0675
24.300000000000008,144.0,0.072
24.400000000000006,136.0,0.068
24.500000000000007,86.0,0.043
24.60000000000001,97.0,0.0485
24.700000000000006,60.0,0.03
24.800000000000008,80.0,0.04
24.90000000000001,99.0,0.0495
25.000000000000007,95.0,0.0475
25.10000000000001,105.0,0.0525
