T,M,Mn
0.2,1963.0,1.0
0.30000000000000004,1963.0,1.0
0.4000000000000001,1962.0,0.999490575649516
0.5000000000000001,1962.0,0.999490575649516
0.6000000000000001,1960.0,0.9984717269485481
0.7000000000000002,1960.0,0.9984717269485481
0.8000000000000003,1952.0,0.9943963321446765
0.9000000000000001,1947.0,0.9918492103922567
1.0000000000000002,1942.0,0.9893020886398369
1.1000000000000003,1937.0,0.9867549668874173
1.2000000000000004,1925.0,0.9806418746816098
1.3000000000000003,1917.0,0.9765664798777381
1.4000000000000004,1900.0,0.9679062659195109
1.5000000000000004,1884.0,0.9597554763117677
1.6000000000000003,1864.0,0.9495669893020886
1.7000000000000004,1838.0,0.9363219561895059
1.8000000000000005,1811.0,0.9225674987264392
1.9000000000000006,1794.0,0.9139072847682119
2.000000000000001,1783.0,0.9083036169128884
2.1000000000000005,1763.0,0.8981151299032094
2.200000000000001,1721.0,0.8767193071828834
2.3000000000000007,1677.0,0.8543046357615894
2.400000000000001,1643.0,0.8369842078451349
2.500000000000001,1631.0,0.8308711156393276
2.600000000000001,1600.0,0.8150789607743251
2.700000000000001,1570.0,0.7997962302598064
2.800000000000001,1529.0,0.7789098318899643
2.9000000000000012,1505.0,0.7666836474783495
3.000000000000001,1475.0,0.7514009169638308
3.100000000000001,1439.0,0.7330616403464085
3.200000000000001,1386.0,0.7060621497707591
3.300000000000001,1343.0,0.6841569026999491
3.4000000000000012,1320.0,0.6724401426388181
3.5000000000000013,1272.0,0.6479877738155884
3.6000000000000014,1265.0,0.6444218033622007
3.7000000000000015,1206.0,0.6143657666836475
3.8000000000000016,1175.0,0.5985736118186449
3.9000000000000012,1150.0,0.5858380030565461
4.000000000000001,1094.0,0.5573102394294447
4.100000000000001,1060.0,0.5399898115129903
4.200000000000002,1059.0,0.5394803871625063
4.300000000000002,1006.0,0.5124808965868568
4.400000000000001,973.0,0.4956698930208864
4.500000000000002,958.0,0.4880285277636271
4.600000000000001,930.0,0.4737646459500764
4.700000000000002,907.0,0.46204788588894546
4.800000000000002,883.0,0.44982170147733064
4.900000000000002,831.0,0.42333163525216505
5.000000000000002,797.0,0.40601120733571067
5.100000000000001,761.0,0.3876719307182883
5.200000000000002,730.0,0.3718797758532858
5.300000000000002,683.0,0.34793683138054
5.400000000000002,679.0,0.34589913397860417
5.500000000000002,681.0,0.3469179826795721
5.600000000000002,644.0,0.3280692817116658
5.700000000000002,625.0,0.3183902190524707
5.800000000000002,641.0,0.32654100866021396
5.900000000000002,617.0,0.3143148242485991
6.000000000000002,608.0,0.30973000509424353
6.100000000000002,616.0,0.3138053998981151
6.200000000000002,581.0,0.2959755476311768
6.3000000000000025,563.0,0.28680590932246564
6.400000000000002,520.0,0.26490066225165565
6.500000000000003,497.0,0.2531839021905247
6.600000000000002,484.0,0.24656138563423333
6.700000000000002,424.0,0.21599592460519612
6.8000000000000025,395.0,0.2012226184411615
6.900000000000002,369.0,0.1879775853285787
7.000000000000003,348.0,0.17727967396841568
7.100000000000002,339.0,0.1726948548140601
7.200000000000003,354.0,0.18033622007131941
7.3000000000000025,388.0,0.19765664798777383
7.400000000000003,375.0,0.19103413143148243
7.500000000000003,376.0,0.19154355578196638
7.600000000000002,381.0,0.19409067753438614
7.700000000000003,377.0,0.19205298013245034
7.8000000000000025,373.0,0.19001528273051452
7.900000000000003,351.0,0.17880794701986755
8.000000000000002,365.0,0.1859398879266429
8.100000000000003,348.0,0.17727967396841568
8.200000000000003,334.0,0.17014773306164035
8.300000000000002,315.0,0.16046867040244522
8.400000000000002,298.0,0.15180845644421803
8.500000000000002,307.0,0.1563932755985736
8.600000000000001,310.0,0.15792154865002547
8.700000000000003,309.0,0.15741212429954152
8.800000000000002,282.0,0.1436576668364748
8.900000000000002,304.0,0.15486500254712177
9.000000000000002,246.0,0.12531839021905247
9.100000000000001,244.0,0.12429954151808456
9.200000000000003,253.0,0.12888436067244013
9.300000000000002,246.0,0.12531839021905247
9.400000000000002,261.0,0.13295975547631178
9.500000000000002,270.0,0.13754457463066735
9.600000000000003,269.0,0.1370351502801834
9.700000000000003,285.0,0.14518593988792663
9.800000000000002,298.0,0.15180845644421803
9.900000000000002,318.0,0.1619969434538971
10.000000000000002,317.0,0.16148751910341314
10.100000000000003,299.0,0.152317880794702
10.200000000000003,265.0,0.13499745287824758
10.300000000000002,246.0,0.12531839021905247
10.400000000000002,199.0,0.10137544574630668
10.500000000000004,203.0,0.10341314314824249
10.600000000000003,199.0,0.10137544574630668
10.700000000000003,238.0,0.12124299541518084
10.800000000000002,263.0,0.13397860417727966
10.900000000000002,234.0,0.11920529801324503
11.000000000000004,253.0,0.12888436067244013
11.100000000000003,251.0,0.12786551197147222
11.200000000000003,226.0,0.11512990320937341
11.300000000000002,210.0,0.10697911360163016
11.400000000000002,213.0,0.10850738665308202
11.500000000000004,208.0,0.10596026490066225
11.600000000000003,217.0,0.11054508405501783
11.700000000000003,180.0,0.09169638308711156
11.800000000000002,180.0,0.09169638308711156
11.900000000000004,160.0,0.0815078960774325
12.000000000000004,140.0,0.07131940906775344
12.100000000000003,140.0,0.07131940906775344
12.200000000000003,156.0,0.07947019867549669
12.300000000000002,128.0,0.065206316861946
12.400000000000004,135.0,0.06877228731533368
12.500000000000004,158.0,0.08048904737646459
12.600000000000003,181.0,0.09220580743759552
12.700000000000003,199.0,0.10137544574630668
12.800000000000004,221.0,0.11258278145695365
12.900000000000004,221.0,0.11258278145695365
13.000000000000004,172.0,0.08762098828323994
13.100000000000003,110.0,0.056036678553234846
